text,exec_time,12.1,12.2,12.3,12.4,12.5,12.6,12.7,12.8,12.a,12.b,12.c,15.1,15.2,15.3,15.4,15.5,15.6,15.7,15.8,15.9,15.a,15.b,15.c,16.1,16.2,16.3,16.4,16.5,16.6,16.7,16.8,16.9,16.10,16.a
"As mentioned earlier the respondents were selected from both forest and nonforest areas This geographical character of the villages was the major differentiator of the sources of livelihood of the families as well as of these women Among the 9 women interviewed 6 lived in forest areas and the other 3 in nonforest areas Though majority of women reported to have land owned by households the size of the land is often very small and of very low quality in terms of agriculture",12.34,68.22,63.42,30.17,12.88,15.46,53.28,53.53,68.99,46.63,11.47,12.76,73.95,20.71,30.81,40.20,44.26,34.94,24.48,25.69,50.45,43.78,33.16,27.31,14.57,21.54,36.07,17.19,17.43,30.82,85.42,62.57,17.08,72.92,18.26
"6 domestic waste incineration 5 Rural habitat improvement project the provinces rural living waste rural",5.78,92.04,85.09,0.28,2.22,74.74,34.08,2.67,17.37,5.10,0.23,9.09,90.17,94.18,81.86,94.08,94.52,39.57,11.15,18.76,88.43,15.39,87.72,7.84,0.14,0.07,0.24,0.10,0.23,2.78,56.69,11.64,17.24,0.56,0.82
"i Pollutant discharge permit system All enterprises shall apply for a pollutant discharge permit which specifies the type limit and effective period of pollutant discharge and local environmental protection authorities shall be responsible for permit review and approval i Ecological protection red line system The State shall draw a red line for strict ecological protection in the key ecological function areas ecological sensitive areas and vulnerable areas i Ecological compensation system The State shall strengthen the efforts in the financial transfer payment for ecological protection areas",13.27,85.70,86.67,6.62,20.30,35.90,31.33,16.84,16.68,8.46,1.06,5.08,82.80,13.36,16.64,44.18,92.39,16.67,5.66,5.06,92.00,54.64,40.36,16.61,1.36,2.45,3.16,15.36,15.71,27.34,50.76,48.37,51.80,5.63,6.72
"significant conversion of natural should be avoided and reduction mitigation or compensation",5.14,70.57,90.05,16.06,26.57,35.91,46.64,42.37,50.82,36.88,17.00,12.23,91.46,90.24,71.27,75.57,93.72,32.01,5.50,24.95,80.08,45.42,45.45,15.52,1.40,4.71,7.26,3.08,1.16,23.87,62.31,27.37,6.35,1.75,22.31
"4Note Core Principle 2 Impacts on Natural Habitats and Physical Cultural Resources CorePrinciple 4 a Management of Land acquisition loss of access to natural resources and involuntary resettlement and Core Principle 6 a Avoidance of Social Conflict do not apply to the program",8.65,33.17,5.49,16.85,0.25,3.56,30.46,16.96,16.57,10.93,0.59,4.29,6.96,0.63,11.63,26.94,53.38,0.84,15.46,5.78,37.67,2.54,9.83,16.16,2.87,6.28,0.94,11.99,7.26,26.01,16.70,46.26,1.24,0.93,5.69
"ii Identifying and addressing economic and social impacts arising from land acquisition or loss of access to natural resources Land Administration Law effective from January 1 2020 stipulates aOwners or users of the land to be acquired shall within the time limit specified in the announcement go to fill the compensation registration form holding its assets ownership certificate The peopleas government at or above the county level shall organize the department concerned to estimate the relevant costs and make them fully available",12.35,24.66,48.98,2.57,0.75,2.54,11.34,26.31,16.15,5.66,0.77,1.84,39.50,5.67,9.82,28.57,45.82,8.11,1.39,0.76,37.27,16.82,13.12,2.01,0.39,1.43,5.60,3.82,8.06,40.11,79.49,21.79,42.03,8.49,1.70
"existing in the project area adequacy and costs of transportation and current projected labor supply and wage levels Biological Environment A field sampling program was designed and all pertinent biological features were inventoried An inventory of animal plant and aquatic life were prepared for selected subareas of the total area The field data acquisition phase includes determination of the type and density of commercial species present in the area The distribution and density of flora and fauna habitats and the ecological interacion of species were studied",13.16,36.97,82.74,8.09,0.84,10.30,45.00,42.28,59.43,46.82,5.29,0.45,35.67,5.56,28.17,41.80,54.36,6.91,2.63,4.36,77.89,31.83,21.66,1.61,0.39,1.58,5.36,1.89,5.16,31.14,78.95,8.30,6.58,6.02,4.40
"i Greening the State through afforestation allied activities like agroforestry and agrosilvi pasture i Consolidate and carry forward the movement of participatory management of natural resources in different agroclimatic regions of the State through economic upliftment of forest fringe population i Meet requirements of the community for fuel wood fodder small timber Non Timber Forest Produce NTFP and rural employment generation through forestry and related activities",12.04,79.16,99.62,2.54,4.99,28.79,24.94,9.04,36.55,12.55,0.45,2.92,98.89,94.12,65.81,7.04,90.22,83.27,2.92,3.93,93.34,40.47,97.91,0.64,1.27,1.03,8.87,1.59,4.17,42.43,79.49,49.11,16.29,4.88,4.16
"The construction activities of the project are included in the chapter of environmental protection in accordance with the requirements of the standard construction project contract and are supervised and implemented by an independent supervision unit The completion of the project has also been checked and accepted in accordance with the requirements and the acceptance report has been publicized and submitted to the Ecological Environment Bureau for the record",10.63,70.75,82.37,35.23,25.60,32.07,65.52,53.80,48.58,37.39,53.36,7.62,81.88,71.62,65.49,68.17,78.97,31.70,38.96,38.85,67.90,26.76,47.86,22.11,9.78,23.71,39.94,12.16,17.30,56.47,51.62,49.64,39.29,33.74,36.82
"53 In 2018 the Ministry of Finance issued the Guiding Opinions on Establishing EcoCompensation and LongTerm Protection Mechanism in the YREB which outlined four tasks for central government to 1 emphasize ecological protection in general fiscal transfers 2 increase national key ecological zone transfers to the YREB provinces 3 implement the aYREB Ecological Protection and Rewards Policya in 2018 which committed CNY 18 billion from 2017 to 2020 to incentivize the establishment of horizontal ecocompensation schemes in the YREB including intra provincial and interprovincial schemes and 4 increase various special funding in the YREB including for reforestation among others",16.83,78.64,90.85,3.66,5.23,12.66,1.69,8.05,3.80,7.31,4.25,2.94,96.31,94.08,71.95,82.80,90.62,23.35,20.16,6.69,91.41,95.87,99.75,9.58,1.84,2.46,13.25,22.64,5.97,15.44,80.38,51.86,30.93,12.07,3.55
